City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baharly,38.4362,57.4316,19.58,31,100,1.14,TM,1712806992
83,conception bay south,47.4999,-52.9981,0.39,93,75,4.93,CA,1712806965
84,yarmouth,41.7057,-70.2286,11.19,89,100,4.63,US,1712806710
85,luorong,24.4058,109.6086,20.98,95,100,0.3,CN,1712806993
86,ambon,-3.6954,128.1814,30.08,70,40,1.54,ID,1712806994
87,westport,41.1415,-73.3579,13.41,86,100,4.12,US,1712806783
88,ilulissat,69.2167,-51.1,-9.99,67,100,0.0,GL,1712806995
89,machico,32.7,-16.7667,20.62,49,20,5.14,PT,1712806996
90,invercargill,-46.4,168.35,9.45,98,100,3.58,NZ,1712806996
91,isafjordur,66.0755,-23.124,-3.57,88,96,1.84,IS,1712806997
92,papao,-17.75,-149.55,29.82,83,90,9.71,PF,1712806997
93,san patricio,28.017,-97.5169,23.92,51,0,7.44,US,1712806998
94,al jawf,29.5,38.75,14.29,62,0,3.29,SA,1712806998
95,howrah,22.5892,88.3103,29.0,70,75,3.09,IN,1712806999
96,port mathurin,-19.6833,63.4167,26.81,78,29,4.72,MU,1712807000
97,port blair,11.6667,92.75,31.6,63,60,4.89,IN,1712807000
98,richards bay,-28.783,32.0377,19.13,76,97,8.13,ZA,1712807001
99,ternate,0.8,127.4,29.08,66,65,3.6,ID,1712807001
100,georgetown,5.4112,100.3354,33.3,64,20,2.57,MY,1712806951
101,auki,-8.7676,160.7034,28.3,81,75,0.53,SB,1712807002
102,atafu village,-8.5421,-172.5159,29.94,73,44,3.57,TK,1712807003
103,college,64.8569,-147.8028,9.18,48,20,2.57,US,1712807003
104,bria,6.5423,21.9863,23.45,58,82,0.74,CF,1712807004
105,shenjiamen,29.9576,122.298,15.35,89,98,2.87,CN,1712807004
106,vijayawada,16.5167,80.6167,31.53,74,40,3.6,IN,1712807005
107,ciudad bolivar,8.1222,-63.5497,28.13,57,42,6.57,VE,1712807005
108,papatowai,-46.5619,169.4708,9.26,96,100,6.73,NZ,1712807006
109,medvezh'yegorsk,62.9167,34.4667,3.96,90,99,6.75,RU,1712807006
110,stanley,54.868,-1.6985,13.01,87,40,8.75,GB,1712806863
111,fortuna,40.5982,-124.1573,10.92,91,100,3.09,US,1712806720
112,khandyga,62.6667,135.6,-0.91,85,90,2.27,RU,1712807008
113,punta arenas,-53.15,-70.9167,6.06,81,20,8.23,CL,1712806782
114,ribeira grande,38.5167,-28.7,17.65,96,100,7.15,PT,1712807009
115,hamilton,39.1834,-84.5333,16.7,96,100,5.66,US,1712806761
116,arrifes,37.7667,-25.7,17.18,94,20,6.17,PT,1712807010
117,alabel,6.1018,125.2905,33.75,40,25,0.92,PH,1712807010
118,constantia,44.1833,28.65,11.5,59,0,4.12,RO,1712806819
119,kodiak,57.79,-152.4072,2.73,48,0,4.12,US,1712807011
120,albany,42.6001,-73.9662,11.81,90,100,1.79,US,1712806997
121,kolondieba,11.0882,-6.8926,27.78,59,100,1.13,ML,1712807012
122,boyolangu,-8.1181,111.8935,29.19,78,46,2.48,ID,1712807013
123,dabeiba,7.0017,-76.2672,22.87,98,96,0.45,CO,1712807013
124,sept-iles,50.2001,-66.3821,-1.0,67,0,3.6,CA,1712807014
125,qulsary,46.9531,54.0198,17.48,51,28,6.17,KZ,1712807014
126,iskateley,67.6803,53.1512,-5.49,94,100,11.17,RU,1712807015
127,ingeniero jacobacci,-41.3427,-69.5448,5.63,62,100,7.21,AR,1712807016
128,yellowknife,62.456,-114.3525,-1.71,97,20,1.54,CA,1712806935
129,federal,-30.9547,-58.7833,15.16,70,100,7.12,AR,1712807017
130,aasiaat,68.7098,-52.8699,-9.5,82,100,1.75,GL,1712807017
131,nyurba,63.2842,118.3319,-9.57,79,100,5.3,RU,1712807018
132,west island,-12.1568,96.8225,28.99,70,40,5.14,CC,1712807018
133,ulan bator,47.9077,106.8832,12.07,37,40,7.0,MN,1712807009
134,keflavik,64.0049,-22.5624,3.95,87,75,7.2,IS,1712807019
135,tura,25.5198,90.2201,34.27,19,97,1.64,IN,1712807020
136,paita,-5.0892,-81.1144,23.35,74,64,3.72,PE,1712807020
137,saipan,15.1355,145.701,31.39,62,40,7.2,MP,1712807021
138,mejit,10.2753,170.8646,26.64,76,100,9.83,MH,1712807022
139,baise city,23.8997,106.6133,26.3,99,100,1.82,CN,1712807022
140,port elizabeth,-33.918,25.5701,14.62,84,0,2.57,ZA,1712807023
141,whangarei,-35.7317,174.3239,20.29,88,100,6.27,NZ,1712807024
142,ust-nera,64.5667,143.2,-4.59,79,100,4.33,RU,1712807025
143,nouadhibou,20.931,-17.0347,17.99,88,0,6.17,MR,1712807025
144,sagua de tanamo,20.5819,-75.2414,21.7,86,4,1.95,CU,1712807026
